personal_id,region_id
1,SSD001
2,SSD001
3,SSD001
4,SSD001
5,SSD001
6,SSD001
7,SSD001
8,SSD001
9,SSD001
10,SSD001
11,SSD001
12,SSD001
13,SSD001
14,SSD001
15,SSD001
16,SSD001
17,SSD001
18,SSD001
19,SSD001
20,SSD001
21,SSD001
22,SSD001
23,SSD001
24,SSD001
25,SSD001
26,SSD001
27,SSD001
28,SSD001
29,SSD001
30,SSD001
31,SSD001
32,SSD001
33,SSD001
34,SSD001
35,SSD001
36,SSD001
37,SSD001
38,SSD001
39,SSD001
40,SSD001
41,SSD001
42,SSD001
43,SSD001
44,SSD001
45,SSD001
46,SSD001
47,SSD001
48,SSD001
49,SSD001
50,SSD001
51,SSD001
52,SSD001
53,SSD001
54,SSD001
55,SSD001
56,SSD001
57,SSD001
58,SSD001
59,SSD001
60,SSD001
61,SSD001
62,SSD001
63,SSD001
64,SSD001
65,SSD001
66,SSD001
67,SSD001
68,SSD001
69,SSD001
70,SSD001
71,SSD001
72,SSD001
73,SSD001
74,SSD001
75,SSD001
76,SSD001
77,SSD001
78,SSD001
79,SSD001
80,SSD001
81,SSD001
82,SSD001
83,SSD001
84,SSD001
85,SSD001
86,SSD001
87,SSD001
88,SSD001
89,SSD001
90,SSD001
91,SSD001
92,SSD001
93,SSD001
94,SSD001
95,SSD001
96,SSD001
97,SSD001
98,SSD001
99,SSD001
100,SSD001
101,SSD001
102,SSD001
103,SSD001
104,SSD001
105,SSD001
106,SSD001
107,SSD001
108,SSD001
109,SSD001
110,SSD001
111,SSD001
112,SSD001
113,SSD001
114,SSD001
115,SSD001
116,SSD001
117,SSD001
118,SSD001
119,SSD001
120,SSD001
121,SSD001
122,SSD001
123,SSD001
124,SSD001
125,SSD001
126,SSD001
127,SSD001
128,SSD001
129,SSD001
130,SSD001
131,SSD001
132,SSD001
133,SSD001
134,SSD001
135,SSD001
136,SSD001
137,SSD001
138,SSD001
139,SSD001
140,SSD001
141,SSD001
142,SSD001
143,SSD001
144,SSD001
145,SSD001
146,SSD001
147,SSD001
148,SSD001
149,SSD001
150,SSD001
151,SSD001
152,SSD001
153,SSD001
154,SSD001
155,SSD001
156,SSD001
157,SSD001
158,SSD001
159,SSD001
160,SSD001
161,SSD001
162,SSD001
163,SSD001
164,SSD001
165,SSD001
166,SSD001
167,SSD001
168,SSD001
169,SSD001
170,SSD001
171,SSD001
172,SSD001
173,SSD001
174,SSD001
175,SSD001
176,SSD001
177,SSD001
178,SSD001
179,SSD001
180,SSD001
181,SSD001
182,SSD001
183,SSD001
184,SSD001
185,SSD001
186,SSD001
187,SSD001
188,SSD001
189,SSD001
190,SSD001
191,SSD001
192,SSD001
193,SSD001
194,SSD001
195,SSD001
196,SSD001
197,SSD001
198,SSD001
199,SSD001
200,SSD001
201,SSD002
202,SSD002
203,SSD002
204,SSD002
205,SSD002
206,SSD002
207,SSD002
208,SSD002
209,SSD002
210,SSD002
211,SSD002
212,SSD002
213,SSD002
214,SSD002
215,SSD002
216,SSD002
217,SSD002
218,SSD002
219,SSD002
220,SSD002
221,SSD002
222,SSD002
223,SSD002
224,SSD002
225,SSD002
226,SSD002
227,SSD002
228,SSD002
229,SSD002
230,SSD002
231,SSD002
232,SSD002
233,SSD002
234,SSD002
235,SSD002
236,SSD002
237,SSD002
238,SSD002
239,SSD002
240,SSD002
241,SSD002
242,SSD002
243,SSD002
244,SSD002
245,SSD002
246,SSD002
247,SSD002
248,SSD002
249,SSD002
250,SSD002
251,SSD002
252,SSD002
253,SSD002
254,SSD002
255,SSD002
256,SSD002
257,SSD002
258,SSD002
259,SSD002
260,SSD002
261,SSD002
262,SSD002
263,SSD002
264,SSD002
265,SSD002
266,SSD002
267,SSD002
268,SSD002
269,SSD002
270,SSD002
271,SSD002
272,SSD002
273,SSD002
274,SSD002
275,SSD002
276,SSD002
277,SSD002
278,SSD002
279,SSD002
280,SSD002
281,SSD002
282,SSD002
283,SSD002
284,SSD002
285,SSD002
286,SSD002
287,SSD002
288,SSD002
289,SSD002
290,SSD002
291,SSD002
292,SSD002
293,SSD002
294,SSD002
295,SSD002
296,SSD002
297,SSD002
298,SSD002
299,SSD002
300,SSD002
301,SSD002
302,SSD002
303,SSD002
304,SSD002
305,SSD002
306,SSD002
307,SSD002
308,SSD002
309,SSD002
310,SSD002
311,SSD002
312,SSD002
313,SSD002
314,SSD002
315,SSD002
316,SSD002
317,SSD002
318,SSD002
319,SSD002
320,SSD002
321,SSD002
322,SSD002
323,SSD002
324,SSD002
325,SSD002
326,SSD002
327,SSD002
328,SSD002
329,SSD002
330,SSD002
331,SSD002
332,SSD002
333,SSD002
334,SSD002
