project_id,project_name,category,track_sdg_indicator,start_date,end_date,budget,region_id
1,Project_1,Infrastructure,SDG_1.1.1,2019-10-08,2023-10-13,1838172,SSD001
2,Project_2,Education,SDG_13.1.1,2019-09-27,2020-03-25,1927386,SSD001
11,Project_11,Education,SDG_13.1.1,2019-09-22,2021-10-29,1948338,SSD002
12,Project_12,Education,SDG_13.1.1,2019-09-26,2022-03-01,2527131,SSD002
22,Project_22,Education,SDG_5.4.1,2019-08-25,2019-11-26,2463941,SSD003
23,Project_23,Advertising Campaign,SDG_5.4.1,2019-02-03,2022-05-02,1996726,SSD003
24,Project_24,Advertising Campaign,SDG_13.1.1,2019-12-11,2020-11-12,2113091,SSD003
43,Project_43,Financial Aid,SDG_5.4.1,2019-10-14,2019-12-11,1030238,SSD004
44,Project_44,Advertising Campaign,SDG_1.1.1,2019-02-22,2019-07-17,2354349,SSD004
45,Project_45,Education,SDG_13.1.1,2019-09-23,2023-02-13,1602008,SSD004
64,Project_64,Advertising Campaign,SDG_13.1.1,2019-01-10,2024-01-01,1307363,RCB001
73,Project_73,Advertising Campaign,SDG_13.1.1,2019-12-19,2020-08-15,2667341,RCB002
74,Project_74,Advertising Campaign,SDG_5.4.1,2019-01-23,2024-09-02,2864838,RCB002
84,Project_84,Advertising Campaign,SDG_13.1.1,2019-12-26,2019-12-29,1596676,RCB003
85,Project_85,Financial Aid,SDG_5.4.1,2019-08-16,2022-02-22,1552090,RCB003
86,Project_86,Education,SDG_1.1.1,2019-05-09,2022-11-02,2927921,RCB003
87,Project_87,Advertising Campaign,SDG_5.4.1,2019-04-03,2019-04-08,1150196,RCB003
107,Project_107,Education,SDG_5.4.1,2019-10-22,2021-07-18,2102434,RCB004
108,Project_108,Infrastructure,SDG_13.1.1,2019-07-31,2021-03-19,2861178,RCB004
109,Project_109,Financial Aid,SDG_5.4.1,2019-11-15,2019-12-29,2161477,RCB004
110,Project_110,Financial Aid,SDG_13.1.1,2019-01-21,2021-05-30,1670938,RCB004
128,Project_128,Advertising Campaign,SDG_5.4.1,2019-08-21,2022-05-21,2326637,PSE001
136,Project_136,Education,SDG_13.1.1,2019-03-07,2019-12-12,2643298,PSE002
137,Project_137,Education,SDG_13.1.1,2019-07-11,2020-08-17,1786530,PSE002
146,Project_146,Financial Aid,SDG_13.1.1,2019-05-10,2021-12-07,2277609,PSE003
147,Project_147,Financial Aid,SDG_5.4.1,2019-11-20,2023-07-03,2317697,PSE003
148,Project_148,Financial Aid,SDG_13.1.1,2019-04-04,2023-11-20,1307957,PSE003
149,Project_149,Education,SDG_13.1.1,2019-03-21,2019-07-07,1082670,PSE003
168,Project_168,Financial Aid,SDG_5.4.1,2019-02-15,2024-01-10,2491275,PSE004
169,Project_169,Infrastructure,SDG_5.4.1,2019-10-13,2023-04-22,1939954,PSE004
170,Project_170,Infrastructure,SDG_13.1.1,2019-05-14,2019-11-21,1862907,PSE004
171,Project_171,Education,SDG_13.1.1,2019-08-21,2024-03-21,2532246,PSE004
192,Project_192,Advertising Campaign,SDG_1.1.1,2019-03-16,2023-10-25,2469906,YEM001
199,Project_199,Advertising Campaign,SDG_1.1.1,2019-03-09,2024-10-06,1160534,YEM002
200,Project_200,Infrastructure,SDG_13.1.1,2019-08-17,2023-05-23,1519064,YEM002
209,Project_209,Education,SDG_13.1.1,2019-08-02,2022-10-24,2602283,YEM003
210,Project_210,Financial Aid,SDG_13.1.1,2019-03-17,2023-05-28,2377077,YEM003
211,Project_211,Advertising Campaign,SDG_1.1.1,2019-08-31,2019-10-05,2323682,YEM003
212,Project_212,Financial Aid,SDG_1.1.1,2019-12-21,2022-01-24,2766296,YEM003
230,Project_230,Advertising Campaign,SDG_13.1.1,2019-09-07,2022-09-22,1093811,YEM004
231,Project_231,Financial Aid,SDG_1.1.1,2019-04-17,2020-09-19,2821293,YEM004
232,Project_232,Financial Aid,SDG_13.1.1,2019-05-10,2023-12-10,1859657,YEM004
233,Project_233,Financial Aid,SDG_5.4.1,2019-11-28,2021-03-27,2130024,YEM004
252,Project_252,Financial Aid,SDG_5.4.1,2019-08-16,2021-06-25,1487477,LEB001
259,Project_259,Education,SDG_13.1.1,2019-04-28,2024-12-14,2580302,LEB002
267,Project_267,Education,SDG_13.1.1,2019-08-10,2023-09-01,2764959,LEB003
268,Project_268,Infrastructure,SDG_13.1.1,2019-10-17,2019-11-02,1088250,LEB003
269,Project_269,Advertising Campaign,SDG_5.4.1,2019-03-28,2019-12-22,1937626,LEB003
270,Project_270,Infrastructure,SDG_5.4.1,2019-07-17,2024-05-10,2707190,LEB003
288,Project_288,Financial Aid,SDG_5.4.1,2019-09-25,2020-03-29,2161536,LEB004
289,Project_289,Education,SDG_1.1.1,2019-03-23,2022-01-29,1555496,LEB004
290,Project_290,Education,SDG_13.1.1,2019-01-20,2022-01-03,2555073,LEB004
3,Project_3,Infrastructure,SDG_13.1.1,2020-04-16,2021-12-25,3070589,SSD001
4,Project_4,Advertising Campaign,SDG_5.4.1,2020-06-26,2024-08-05,2303305,SSD001
13,Project_13,Education,SDG_5.4.1,2020-06-16,2021-04-03,2674350,SSD002
14,Project_14,Education,SDG_13.1.1,2020-01-28,2023-04-02,2059684,SSD002
25,Project_25,Financial Aid,SDG_13.1.1,2020-06-08,2023-09-28,2115358,SSD003
26,Project_26,Education,SDG_13.1.1,2020-09-20,2023-02-16,2166380,SSD003
27,Project_27,Education,SDG_5.4.1,2020-01-06,2022-06-03,2409874,SSD003
28,Project_28,Advertising Campaign,SDG_13.1.1,2020-11-09,2024-07-23,2692192,SSD003
46,Project_46,Advertising Campaign,SDG_13.1.1,2020-11-08,2023-05-22,1520021,SSD004
47,Project_47,Education,SDG_5.4.1,2020-07-31,2023-11-30,2196007,SSD004
48,Project_48,Financial Aid,SDG_13.1.1,2020-07-14,2024-08-08,2832767,SSD004
65,Project_65,Advertising Campaign,SDG_5.4.1,2020-07-07,2023-01-23,1122388,RCB001
66,Project_66,Advertising Campaign,SDG_5.4.1,2020-03-30,2023-02-12,2063764,RCB001
75,Project_75,Education,SDG_1.1.1,2020-02-04,2020-04-01,1813479,RCB002
76,Project_76,Education,SDG_1.1.1,2020-02-25,2024-12-22,1867356,RCB002
88,Project_88,Education,SDG_13.1.1,2020-09-04,2020-12-17,1900164,RCB003
89,Project_89,Education,SDG_5.4.1,2020-12-09,2023-03-17,1806020,RCB003
90,Project_90,Education,SDG_5.4.1,2020-11-21,2023-08-09,2319408,RCB003
91,Project_91,Infrastructure,SDG_13.1.1,2020-07-28,2024-11-28,1642562,RCB003
111,Project_111,Education,SDG_1.1.1,2020-02-25,2024-01-28,2153928,RCB004
112,Project_112,Financial Aid,SDG_1.1.1,2020-02-20,2021-09-21,1584342,RCB004
113,Project_113,Education,SDG_13.1.1,2020-05-20,2020-10-18,1262817,RCB004
129,Project_129,Advertising Campaign,SDG_5.4.1,2020-12-17,2023-12-28,3037664,PSE001
130,Project_130,Education,SDG_13.1.1,2020-02-21,2021-12-21,1871682,PSE001
138,Project_138,Financial Aid,SDG_5.4.1,2020-01-31,2022-04-29,2140950,PSE002
139,Project_139,Education,SDG_1.1.1,2020-01-20,2020-09-29,2274753,PSE002
150,Project_150,Education,SDG_1.1.1,2020-07-19,2024-10-17,1707463,PSE003
151,Project_151,Infrastructure,SDG_5.4.1,2020-01-11,2024-06-03,1048841,PSE003
152,Project_152,Infrastructure,SDG_5.4.1,2020-04-30,2022-09-03,2422333,PSE003
153,Project_153,Education,SDG_1.1.1,2020-09-23,2024-06-02,2910825,PSE003
172,Project_172,Education,SDG_5.4.1,2020-10-16,2020-12-30,1770708,PSE004
173,Project_173,Advertising Campaign,SDG_5.4.1,2020-03-09,2022-11-07,1278108,PSE004
174,Project_174,Financial Aid,SDG_5.4.1,2020-12-25,2020-12-27,2481168,PSE004
175,Project_175,Education,SDG_1.1.1,2020-04-13,2020-06-20,1412627,PSE004
193,Project_193,Advertising Campaign,SDG_1.1.1,2020-03-16,2021-06-26,1108455,YEM001
201,Project_201,Education,SDG_13.1.1,2020-02-11,2022-02-11,2094255,YEM002
213,Project_213,Advertising Campaign,SDG_13.1.1,2020-07-15,2020-09-26,1980622,YEM003
214,Project_214,Education,SDG_5.4.1,2020-12-06,2020-12-12,1142328,YEM003
215,Project_215,Financial Aid,SDG_13.1.1,2020-08-10,2024-02-21,2469049,YEM003
234,Project_234,Education,SDG_13.1.1,2020-09-01,2022-11-05,2975608,YEM004
235,Project_235,Financial Aid,SDG_13.1.1,2020-07-03,2023-06-30,2213229,YEM004
236,Project_236,Infrastructure,SDG_1.1.1,2020-06-08,2020-07-14,1521170,YEM004
237,Project_237,Education,SDG_5.4.1,2020-06-01,2020-12-31,1707106,YEM004
253,Project_253,Financial Aid,SDG_13.1.1,2020-08-26,2021-10-25,2330377,LEB001
260,Project_260,Advertising Campaign,SDG_1.1.1,2020-04-24,2022-03-05,2880072,LEB002
271,Project_271,Advertising Campaign,SDG_13.1.1,2020-05-10,2022-04-14,2317840,LEB003
272,Project_272,Education,SDG_5.4.1,2020-10-19,2022-09-28,2499868,LEB003
273,Project_273,Education,SDG_1.1.1,2020-01-19,2020-05-21,2903465,LEB003
291,Project_291,Education,SDG_5.4.1,2020-02-16,2024-09-04,1884481,LEB004
292,Project_292,Financial Aid,SDG_1.1.1,2020-02-24,2024-12-20,1633147,LEB004
293,Project_293,Advertising Campaign,SDG_13.1.1,2020-12-02,2021-04-11,2567263,LEB004
5,Project_5,Financial Aid,SDG_5.4.1,2021-06-10,2023-09-08,2306870,SSD001
15,Project_15,Education,SDG_1.1.1,2021-02-04,2021-09-19,1715118,SSD002
16,Project_16,Advertising Campaign,SDG_5.4.1,2021-11-16,2023-07-31,2960605,SSD002
29,Project_29,Education,SDG_13.1.1,2021-09-14,2021-12-18,3215937,SSD003
30,Project_30,Education,SDG_1.1.1,2021-03-21,2023-03-26,1915387,SSD003
31,Project_31,Education,SDG_1.1.1,2021-08-30,2022-04-12,1439828,SSD003
49,Project_49,Advertising Campaign,SDG_5.4.1,2021-08-22,2024-01-31,1242414,SSD004
50,Project_50,Advertising Campaign,SDG_13.1.1,2021-01-08,2021-05-26,1093274,SSD004
51,Project_51,Education,SDG_13.1.1,2021-05-21,2024-08-30,3217085,SSD004
52,Project_52,Financial Aid,SDG_5.4.1,2021-06-12,2021-08-19,3182991,SSD004
67,Project_67,Education,SDG_1.1.1,2021-11-15,2021-12-07,1883470,RCB001
77,Project_77,Financial Aid,SDG_1.1.1,2021-11-13,2021-12-16,1267055,RCB002
92,Project_92,Education,SDG_5.4.1,2021-01-14,2024-02-26,2720172,RCB003
93,Project_93,Education,SDG_13.1.1,2021-07-03,2023-06-28,1103429,RCB003
94,Project_94,Advertising Campaign,SDG_5.4.1,2021-09-03,2024-03-26,3177824,RCB003
114,Project_114,Education,SDG_13.1.1,2021-08-09,2021-09-29,2823766,RCB004
115,Project_115,Infrastructure,SDG_1.1.1,2021-07-17,2022-03-25,2088361,RCB004
116,Project_116,Advertising Campaign,SDG_5.4.1,2021-03-01,2022-11-16,2965735,RCB004
117,Project_117,Education,SDG_5.4.1,2021-09-21,2023-01-07,2667599,RCB004
131,Project_131,Education,SDG_13.1.1,2021-09-30,2024-04-25,1911929,PSE001
140,Project_140,Advertising Campaign,SDG_5.4.1,2021-01-22,2021-07-13,2193628,PSE002
141,Project_141,Financial Aid,SDG_13.1.1,2021-12-22,2021-12-27,2169927,PSE002
154,Project_154,Education,SDG_13.1.1,2021-10-22,2024-10-23,1454637,PSE003
155,Project_155,Education,SDG_1.1.1,2021-08-06,2023-12-30,2066615,PSE003
156,Project_156,Education,SDG_13.1.1,2021-07-10,2021-10-12,1266764,PSE003
176,Project_176,Advertising Campaign,SDG_5.4.1,2021-05-18,2024-08-16,2108416,PSE004
177,Project_177,Advertising Campaign,SDG_13.1.1,2021-07-21,2023-01-14,2528323,PSE004
178,Project_178,Education,SDG_13.1.1,2021-09-28,2024-10-21,2239461,PSE004
179,Project_179,Advertising Campaign,SDG_5.4.1,2021-10-09,2024-10-13,2989074,PSE004
194,Project_194,Education,SDG_1.1.1,2021-03-21,2021-06-04,2113283,YEM001
202,Project_202,Education,SDG_5.4.1,2021-03-13,2024-08-17,1418122,YEM002
203,Project_203,Financial Aid,SDG_5.4.1,2021-01-07,2024-11-14,2867573,YEM002
216,Project_216,Financial Aid,SDG_1.1.1,2021-10-14,2021-10-15,2043588,YEM003
217,Project_217,Financial Aid,SDG_5.4.1,2021-04-23,2021-06-24,1963047,YEM003
218,Project_218,Advertising Campaign,SDG_5.4.1,2021-09-17,2022-09-30,2490196,YEM003
219,Project_219,Advertising Campaign,SDG_1.1.1,2021-08-12,2022-10-15,2064863,YEM003
238,Project_238,Advertising Campaign,SDG_5.4.1,2021-01-16,2024-04-03,1158800,YEM004
239,Project_239,Education,SDG_5.4.1,2021-10-03,2024-06-27,1984159,YEM004
240,Project_240,Advertising Campaign,SDG_5.4.1,2021-05-28,2021-09-05,1389271,YEM004
241,Project_241,Education,SDG_5.4.1,2021-03-16,2024-12-06,2365543,YEM004
254,Project_254,Education,SDG_13.1.1,2021-02-27,2022-08-31,1363209,LEB001
255,Project_255,Education,SDG_5.4.1,2021-11-03,2022-12-21,1714168,LEB001
261,Project_261,Education,SDG_1.1.1,2021-09-11,2023-07-23,3205124,LEB002
