survey_ID,personal_id,region_id,sex,age,proficiency_in_literacy,proficiency_in_numeracy,employment_status,below_poverty_line,average_time_spent_on_unpaid_domestic_work,survey_year
1,1,SSD001,female,26,FALSE,FALSE,employed,FALSE,39,2019
2,2,SSD001,male,35,FALSE,TRUE,employed,FALSE,12,2019
3,3,SSD001,female,50,TRUE,FALSE,employed,TRUE,32,2019
4,4,SSD001,female,34,FALSE,TRUE,employed,TRUE,30,2019
5,5,SSD001,male,35,TRUE,FALSE,employed,FALSE,12,2019
6,6,SSD001,female,35,FALSE,TRUE,unemployed,TRUE,34,2019
7,7,SSD001,male,26,TRUE,FALSE,unemployed,FALSE,8,2019
8,8,SSD001,male,15,FALSE,TRUE,below_minimum_legal_work_age,TRUE,11,2019
9,9,SSD001,male,64,TRUE,TRUE,unemployed,FALSE,12,2019
10,10,SSD001,female,61,TRUE,FALSE,employed,FALSE,38,2019
11,11,SSD001,female,59,TRUE,TRUE,employed,TRUE,31,2019
12,12,SSD001,male,56,TRUE,TRUE,employed,FALSE,10,2019
13,13,SSD001,female,78,FALSE,FALSE,employed,FALSE,36,2019
14,14,SSD001,male,62,TRUE,TRUE,unemployed,TRUE,10,2019
15,15,SSD001,male,37,FALSE,FALSE,unemployed,TRUE,10,2019
16,16,SSD001,female,32,TRUE,TRUE,employed,FALSE,36,2019
17,17,SSD001,male,51,TRUE,TRUE,employed,TRUE,11,2019
18,18,SSD001,female,62,TRUE,FALSE,unemployed,TRUE,35,2019
19,19,SSD001,female,31,FALSE,TRUE,employed,TRUE,37,2019
20,20,SSD001,female,68,FALSE,FALSE,employed,FALSE,39,2019
21,21,SSD001,female,68,TRUE,TRUE,employed,FALSE,39,2019
22,22,SSD001,male,50,FALSE,FALSE,employed,FALSE,11,2019
23,23,SSD001,male,18,FALSE,TRUE,unemployed,FALSE,12,2019
24,24,SSD001,male,79,FALSE,FALSE,unemployed,TRUE,11,2019
25,25,SSD001,male,64,FALSE,FALSE,unemployed,FALSE,9,2019
26,26,SSD001,female,19,FALSE,TRUE,employed,FALSE,33,2019
27,27,SSD001,male,17,FALSE,FALSE,below_minimum_legal_work_age,TRUE,8,2019
28,28,SSD001,female,14,TRUE,FALSE,below_minimum_legal_work_age,FALSE,34,2019
29,29,SSD001,male,47,TRUE,TRUE,employed,FALSE,9,2019
30,30,SSD001,female,52,TRUE,FALSE,employed,TRUE,31,2019
31,31,SSD001,male,60,TRUE,TRUE,employed,FALSE,11,2019
32,32,SSD001,female,59,TRUE,FALSE,employed,TRUE,32,2019
33,33,SSD001,female,37,TRUE,TRUE,employed,TRUE,34,2019
34,34,SSD001,female,41,TRUE,FALSE,employed,FALSE,37,2019
35,35,SSD001,female,43,TRUE,TRUE,unemployed,TRUE,33,2019
36,36,SSD001,male,50,FALSE,TRUE,unemployed,FALSE,9,2019
37,37,SSD001,female,71,TRUE,FALSE,employed,FALSE,35,2019
38,38,SSD001,female,61,TRUE,TRUE,unemployed,FALSE,33,2019
39,39,SSD001,prefer not to say,66,TRUE,TRUE,employed,FALSE,34,2019
40,40,SSD001,female,30,TRUE,TRUE,unemployed,TRUE,35,2019
41,41,SSD001,male,53,FALSE,FALSE,unemployed,FALSE,13,2019
42,42,SSD001,male,36,FALSE,FALSE,employed,FALSE,9,2019
43,43,SSD001,male,46,FALSE,FALSE,unemployed,FALSE,13,2019
44,44,SSD001,male,73,TRUE,TRUE,employed,TRUE,10,2019
45,45,SSD001,male,42,FALSE,FALSE,employed,FALSE,11,2019
46,46,SSD001,female,39,FALSE,TRUE,employed,TRUE,37,2019
47,47,SSD001,female,74,FALSE,TRUE,employed,FALSE,34,2019
48,48,SSD001,male,31,TRUE,TRUE,unemployed,TRUE,10,2019
49,49,SSD001,female,63,TRUE,TRUE,employed,TRUE,33,2019
50,50,SSD001,female,55,TRUE,FALSE,employed,FALSE,33,2019
51,51,SSD001,female,61,FALSE,TRUE,unemployed,TRUE,31,2019
52,52,SSD001,male,72,TRUE,TRUE,unemployed,TRUE,10,2019
53,53,SSD001,female,36,TRUE,TRUE,employed,TRUE,37,2019
54,54,SSD001,female,59,FALSE,FALSE,unemployed,FALSE,35,2019
55,55,SSD001,female,32,TRUE,FALSE,unemployed,FALSE,36,2019
56,56,SSD001,male,35,FALSE,FALSE,employed,FALSE,13,2019
57,57,SSD001,male,76,TRUE,FALSE,employed,TRUE,11,2019
58,58,SSD001,female,53,TRUE,FALSE,unemployed,TRUE,37,2019
59,59,SSD001,female,18,TRUE,FALSE,unemployed,FALSE,40,2019
60,60,SSD001,male,22,TRUE,TRUE,employed,FALSE,8,2019
61,61,SSD001,female,60,TRUE,TRUE,employed,TRUE,30,2019
62,62,SSD001,female,42,TRUE,FALSE,employed,TRUE,36,2019
63,63,SSD001,male,21,TRUE,TRUE,employed,TRUE,12,2019
64,64,SSD001,female,25,TRUE,TRUE,employed,TRUE,40,2019
65,65,SSD001,female,73,TRUE,FALSE,unemployed,FALSE,35,2019
66,66,SSD001,female,30,TRUE,FALSE,unemployed,TRUE,34,2019
67,67,SSD001,female,74,FALSE,TRUE,unemployed,FALSE,36,2019
68,68,SSD001,female,53,FALSE,FALSE,employed,FALSE,31,2019
69,69,SSD001,female,42,TRUE,FALSE,employed,TRUE,32,2019
70,70,SSD001,female,31,FALSE,FALSE,employed,FALSE,31,2019
71,71,SSD001,female,62,TRUE,FALSE,employed,FALSE,40,2019
72,72,SSD001,female,28,TRUE,FALSE,employed,FALSE,35,2019
73,73,SSD001,female,58,TRUE,TRUE,employed,TRUE,36,2019
74,74,SSD001,female,74,TRUE,TRUE,unemployed,TRUE,35,2019
75,75,SSD001,male,61,FALSE,TRUE,unemployed,FALSE,9,2019
76,76,SSD001,female,18,TRUE,TRUE,unemployed,FALSE,30,2019
77,77,SSD001,male,35,TRUE,FALSE,employed,TRUE,13,2019
78,78,SSD001,male,59,FALSE,TRUE,employed,FALSE,13,2019
79,79,SSD001,male,15,TRUE,TRUE,below_minimum_legal_work_age,FALSE,12,2019
80,80,SSD001,male,41,TRUE,FALSE,employed,FALSE,8,2019
81,81,SSD001,male,45,TRUE,FALSE,unemployed,TRUE,10,2019
82,82,SSD001,male,18,FALSE,TRUE,employed,FALSE,12,2019
83,83,SSD001,female,74,FALSE,TRUE,employed,FALSE,35,2019
84,84,SSD001,male,50,TRUE,TRUE,employed,TRUE,13,2019
85,85,SSD001,female,75,FALSE,TRUE,employed,FALSE,31,2019
86,86,SSD001,male,80,FALSE,TRUE,employed,FALSE,10,2019
87,87,SSD001,male,16,FALSE,FALSE,below_minimum_legal_work_age,FALSE,9,2019
88,88,SSD001,female,26,FALSE,TRUE,unemployed,FALSE,34,2019
89,89,SSD001,male,70,FALSE,TRUE,unemployed,FALSE,10,2019
90,90,SSD001,female,73,TRUE,TRUE,employed,TRUE,31,2019
91,91,SSD001,female,43,TRUE,TRUE,employed,FALSE,39,2019
92,92,SSD001,female,67,TRUE,TRUE,unemployed,TRUE,30,2019
93,93,SSD001,male,22,TRUE,TRUE,unemployed,FALSE,10,2019
94,94,SSD001,male,66,TRUE,FALSE,unemployed,FALSE,11,2019
95,95,SSD001,female,43,TRUE,TRUE,employed,TRUE,35,2019
96,96,SSD001,female,17,TRUE,TRUE,below_minimum_legal_work_age,FALSE,37,2019
97,97,SSD001,female,72,TRUE,TRUE,employed,FALSE,35,2019
98,98,SSD001,female,20,FALSE,TRUE,unemployed,TRUE,38,2019
99,99,SSD001,female,25,TRUE,TRUE,unemployed,FALSE,32,2019
100,100,SSD001,male,64,FALSE,FALSE,employed,TRUE,12,2019
101,101,SSD001,male,16,FALSE,FALSE,below_minimum_legal_work_age,TRUE,9,2019
102,102,SSD001,female,79,TRUE,FALSE,unemployed,FALSE,40,2019
103,103,SSD001,female,32,TRUE,FALSE,employed,FALSE,33,2019
104,104,SSD001,male,68,TRUE,TRUE,employed,FALSE,12,2019
105,105,SSD001,male,39,TRUE,TRUE,employed,TRUE,10,2019
106,106,SSD001,male,42,FALSE,FALSE,employed,TRUE,13,2019
107,107,SSD001,male,16,TRUE,FALSE,below_minimum_legal_work_age,TRUE,11,2019
108,108,SSD001,male,40,FALSE,TRUE,unemployed,FALSE,13,2019
109,109,SSD001,female,35,TRUE,TRUE,employed,FALSE,36,2019
110,110,SSD001,female,62,FALSE,FALSE,employed,TRUE,36,2019
111,111,SSD001,male,74,FALSE,TRUE,unemployed,FALSE,12,2019
112,112,SSD001,male,26,TRUE,FALSE,employed,FALSE,11,2019
113,113,SSD001,female,70,TRUE,FALSE,employed,FALSE,39,2019
114,114,SSD001,female,75,FALSE,TRUE,unemployed,FALSE,30,2019
115,115,SSD001,male,49,TRUE,FALSE,employed,FALSE,9,2019
116,116,SSD001,female,29,TRUE,TRUE,employed,FALSE,40,2019
117,117,SSD001,male,16,TRUE,TRUE,below_minimum_legal_work_age,FALSE,10,2019
118,118,SSD001,female,44,TRUE,FALSE,employed,FALSE,33,2019
119,119,SSD001,female,71,FALSE,TRUE,employed,TRUE,36,2019
120,120,SSD001,female,40,TRUE,FALSE,employed,TRUE,35,2019
121,121,SSD001,male,48,TRUE,TRUE,unemployed,FALSE,13,2019
122,122,SSD001,male,46,TRUE,FALSE,employed,TRUE,9,2019
123,123,SSD001,male,58,FALSE,TRUE,employed,FALSE,9,2019
124,124,SSD001,male,73,TRUE,FALSE,unemployed,TRUE,8,2019
125,125,SSD001,male,54,TRUE,TRUE,employed,TRUE,9,2019
126,126,SSD001,female,62,TRUE,FALSE,unemployed,TRUE,39,2019
127,127,SSD001,male,27,FALSE,FALSE,employed,FALSE,8,2019
128,128,SSD001,female,22,TRUE,FALSE,unemployed,FALSE,36,2019
