survey_id,personal_id,region_id,proficiency_in_literacy,proficiency_in_numeracy,employment_status,below_poverty_line,average_time_spent_on_unpaid_domestic_work,survey_year
1,1,SSD001,False,False,employed,True,12,2019
2,2,SSD001,True,False,employed,False,38,2019
3,3,SSD001,True,True,employed,False,30,2019
4,4,SSD001,True,False,unemployed,True,10,2019
5,5,SSD001,False,False,unemployed,False,12,2019
6,6,SSD001,False,False,employed,True,39,2019
7,7,SSD001,False,True,unemployed,True,34,2019
8,8,SSD001,True,True,unemployed,True,12,2019
9,9,SSD001,True,False,employed,False,40,2019
10,10,SSD001,True,True,below_minimum_legal_work_age,False,30,2019
11,11,SSD001,True,True,employed,False,11,2019
12,12,SSD001,True,True,unemployed,True,13,2019
13,13,SSD001,False,False,unemployed,False,34,2019
14,14,SSD001,False,False,employed,False,8,2019
15,15,SSD001,False,True,employed,False,12,2019
16,16,SSD001,True,True,employed,False,9,2019
17,17,SSD001,False,False,employed,False,40,2019
18,18,SSD001,False,True,employed,False,40,2019
19,19,SSD001,False,True,employed,True,33,2019
20,20,SSD001,True,False,employed,False,37,2019
21,21,SSD001,False,False,employed,False,30,2019
22,22,SSD001,False,True,employed,True,10,2019
23,23,SSD001,True,False,unemployed,False,31,2019
24,24,SSD001,False,True,below_minimum_legal_work_age,False,40,2019
25,25,SSD001,True,False,unemployed,False,30,2019
26,26,SSD001,False,False,unemployed,True,33,2019
27,27,SSD001,False,True,unemployed,True,33,2019
28,28,SSD001,False,True,employed,False,9,2019
29,29,SSD001,False,True,employed,False,9,2019
30,30,SSD001,False,True,employed,True,36,2019
31,31,SSD001,False,False,employed,True,12,2019
32,32,SSD001,True,False,employed,True,34,2019
33,33,SSD001,True,False,employed,True,31,2019
34,34,SSD001,True,True,unemployed,False,10,2019
35,35,SSD001,True,False,employed,True,12,2019
36,36,SSD001,True,False,employed,False,9,2019
37,37,SSD001,False,True,employed,False,30,2019
38,38,SSD001,True,False,employed,False,32,2019
39,39,SSD001,True,True,employed,False,13,2019
40,40,SSD001,False,False,below_minimum_legal_work_age,True,9,2019
41,41,SSD001,True,True,employed,False,39,2019
42,42,SSD001,True,False,employed,True,11,2019
43,43,SSD001,False,False,employed,False,37,2019
44,44,SSD001,True,False,unemployed,False,34,2019
45,45,SSD001,True,False,employed,False,35,2019
46,46,SSD001,True,False,unemployed,False,13,2019
47,47,SSD001,False,True,employed,False,30,2019
48,48,SSD001,True,False,below_minimum_legal_work_age,False,38,2019
49,49,SSD001,True,True,employed,False,13,2019
50,50,SSD001,True,True,employed,False,37,2019
51,51,SSD001,False,True,employed,True,9,2019
52,52,SSD001,True,False,employed,True,39,2019
53,53,SSD001,True,False,unemployed,True,8,2019
54,54,SSD001,True,True,employed,False,9,2019
55,55,SSD001,False,False,employed,True,34,2019
56,56,SSD001,True,True,employed,False,39,2019
57,57,SSD001,False,True,unemployed,False,11,2019
58,58,SSD001,False,False,employed,False,33,2019
59,59,SSD001,True,True,below_minimum_legal_work_age,False,12,2019
60,60,SSD001,True,True,unemployed,False,11,2019
61,61,SSD001,True,True,employed,True,11,2019
62,62,SSD001,True,True,unemployed,True,11,2019
